word,colour,stim_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_.started,text_2.started,Instructions_.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,True,0.0777508333339938,0.11456399999951827,1.0147260416670179,,,,,,,,,,,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
BLUE,blue,C,b,0,0,0,b,1,2.185910333333595,None,0,0,0,3,1.0309459583331773,,,,,,1.0240307499989285,1.0309459583331773,1.5142660416677245,1.5142660416677245,1.5142660416677245,3.7221937499998603,b,1,2.185910333333595,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
BLUE,red,I,r,1,1,0,r,1,1.1541531249968102,None,0,1,1,2,3.730927624998003,,,,,,3.7223004166662577,3.730927624998003,4.230986499998835,4.230986499998835,4.230986499998835,5.398340958334302,r,1,1.1541531249968102,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
RED,blue,I,b,2,2,0,b,1,1.101620791665482,None,0,2,2,1,5.414295666665566,,,,,,5.399298666667164,5.414295666665566,5.897486666664918,5.897486666664918,5.897486666664918,7.014924416667782,b,1,1.101620791665482,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
RED,red,C,r,3,3,0,r,1,0.5838149166665971,None,0,3,3,0,7.030937041665311,,,,,,7.015015208333352,7.030937041665311,7.514231416666007,7.514231416666007,7.514231416666007,8.114841333332151,r,1,0.5838149166665971,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
BLUE,red,I,r,4,0,1,r,1,0.5337677500028803,None,1,0,4,2,8.130905624999286,,,,,,8.115263125000638,8.130905624999286,8.614245666667557,8.614245666667557,8.614245666667557,9.164813041665184,r,1,0.5337677500028803,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
RED,red,C,r,5,1,1,r,1,0.5078096249999362,None,1,1,5,0,9.18085662500016,,,,,,9.16522199999963,9.18085662500016,9.664199999999255,9.664199999999255,9.664199999999255,10.181475333334674,r,1,0.5078096249999362,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.5650514166663925,None,1,2,6,3,10.197537708332675,,,,,,10.18188420833394,10.197537708332675,10.680916583332873,10.680916583332873,10.680916583332873,11.248143333334156,b,1,0.5650514166663925,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
RED,blue,I,b,7,3,1,b,1,0.6633228749997215,None,1,3,7,1,11.264298041667644,,,,,,11.24851683333327,11.264298041667644,11.747602625000582,11.747602625000582,11.747602625000582,12.414715374998195,b,1,0.6633228749997215,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
BLUE,red,I,r,8,0,2,r,1,0.5927480000027572,None,2,0,8,2,12.430922083334735,,,,,,12.41509374999805,12.430922083334735,12.914153124998847,12.914153124998847,12.914153124998847,13.514906916665495,r,1,0.5927480000027572,None,,,,,1,001,2026-08-30_20h45.03.388,Stroop task,,2026.2.3,59.9684565924983,2026-08-30 20h45.03.495772 +0530,
