corrAns,trial number,tilt,key_resp.corr,trials_2.response,,,corrAns,trial number,tilt,key_resp.corr,trials_2.response,,corrAns,trial number,tilt,key_resp.corr,trials_2.response,Absolute Tilt,,tilt,trial number,key_resp.corr
left,85,-1.5,1,1,,,,,,,,,,,,,,,,-1.5,85,1
right,86,1.5,1,1,,,,,,,,,,,,,,,,1.5,86,1
left,87,-1,1,1,,,,,,,,,,,,,,,,-1,87,1
right,88,1,1,1,,,,,,,,,,,,,,,,1,88,1
right,89,1,1,1,,,,,,,,,,,,,,,,1,89,1
right,90,1,1,1,,,,,,,,,,,,,,,,1,90,1
left,91,-1,1,1,,,,,,,,,,,,,,,,-1,91,1
left,92,-1,1,1,,,,,,,,,,,,,,,,-1,92,1
right,93,1,1,1,,,,,,,,,,,,,,,,1,93,1
left,94,-1,1,1,,,,,,,,,,,,,,,,-1,94,1
right,95,1,1,1,,,,,,,,,,,,,,,,1,95,1
right,96,1,1,1,,,,,,,,,,,,,,,,1,96,1
right,97,1,1,1,,,,,,,,,,,,,,,,1,97,1
left,98,-1,1,1,,,,,,,,,,,,,,,,-1,98,1
left,99,-1,1,1,,,,,,,,,,,,,,,,-1,99,1
right,100,1,1,1,,,,,,,,,,,,,,,,1,100,1
