0.9454 	ERROR 	Plugin `psychopy-cedrus` entry point requires module `psychopy_cedrus`, but it cannot be imported.
9.5109 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.5126 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you', units='height', win=Window(...), wrapWidth=1)
0.1146 	EXP 	text_2: autoDraw = True
1.0215 	DEBUG 	Read csv file with pandas: /Users/rutushah/Downloads/PyshcoPy Experiments/Stroop task/conditions- stroop task  - Sheet1.csv
1.0221 	DEBUG 	Clearing unnamed columns from /Users/rutushah/Downloads/PyshcoPy Experiments/Stroop task/conditions- stroop task  - Sheet1.csv
1.0223 	EXP 	Imported /Users/rutushah/Downloads/PyshcoPy Experiments/Stroop task/conditions- stroop task  - Sheet1.csv as conditions, 4 conditions, 4 params
1.0227 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'BLUE', 'colour': 'blue', 'stim_condition': 'C', 'correct_response': 'b', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.0309 	EXP 	text_2: autoDraw = False
1.0309 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
1.0309 	EXP 	text: height = np.float64(0.05)
1.0309 	EXP 	text: height = np.float64(0.05)
1.0309 	EXP 	text: height = np.float64(0.05)
1.0309 	EXP 	text: text = 'BLUE'
1.0309 	EXP 	Fixation: autoDraw = True
1.5143 	INFO 	Keyboard events cleared
1.5143 	EXP 	Fixation: autoDraw = False
1.5143 	EXP 	text: autoDraw = True
3.7030 	DATA 	Keypress: b
3.7222 	EXP 	Device response: <KeyPress from None: t=3.700206708334008, value=b, duration=None>
3.7222 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'BLUE', 'colour': 'red', 'stim_condition': 'I', 'correct_response': 'r', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.7309 	EXP 	Fixation: autoDraw = False
3.7309 	EXP 	text: autoDraw = False
3.7309 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
3.7309 	EXP 	text: text = 'BLUE'
3.7309 	EXP 	Fixation: autoDraw = True
3.8316 	EXP 	Device response: <KeyPress from None: t=3.700206708334008, value=b, duration=0.1263103333330946>
